"Rank","Player","Team","Position","Points","Games","Avg"
"349","Ben Ellefson","JAC","TE","0.0","1","0.0"
"349","Gabe Nabers","LAC","TE","0.0","1","0.0"
"349","Matthew Slater","NE","WR","0.0","1","0.0"
"349","Ted Ginn Jr.","CHI","WR","0.0","1","0.0"
"481","J.D. McKissic","WAS","RB","-0.1","1","-0.1"
"482","Tim Boyle","GB","QB","-0.2","1","-0.2"
"482","John Hightower","PHI","WR","-0.2","1","-0.2"
"484","Ty Montgomery","NO","RB","-0.4","1","-0.4"
"485","Nick Vannett","DEN","TE","-0.6","1","-0.6"
"486","Atlanta Falcons","ATL","DST","-1.0","1","-1.0"
"486","Carolina Panthers","CAR","DST","-1.0","1","-1.0"
"488","Patrick Ricard","BAL","RB","-1.6","1","-1.6"
"489","Minnesota Vikings","MIN","DST","-4.0","1","-4.0"
""
""
