"Rank","Player","Team","Position","Points","Games","Avg"
"1","Aaron Jones","GB","RB","41.6","1","41.6"
"2","Dak Prescott","DAL","QB","39.8","1","39.8"
"3","Cam Newton","NE","QB","35.6","1","35.6"
"4","Josh Allen","BUF","QB","34.5","1","34.5"
"5","Russell Wilson","SEA","QB","34.4","1","34.4"
"6","Kyler Murray","ARI","QB","33.1","1","33.1"
"7","Alvin Kamara","NO","RB","29.4","1","29.4"
"8","Matt Ryan","ATL","QB","28.5","1","28.5"
"9","Patrick Mahomes II","KC","QB","27.5","1","27.5"
"10","Ryan Tannehill","TEN","QB","26.8","1","26.8"
"11","Gardner Minshew II","JAC","QB","25.5","1","25.5"
"12","Nick Chubb","CLE","RB","25.3","1","25.3"
"13","Joe Burrow","CIN","QB","24.5","1","24.5"
"14","Ryan Fitzpatrick","MIA","QB","24.3","1","24.3"
"15","Jared Goff","LAR","QB","24.0","1","24.0"
"16","Leonard Fournette","TB","RB","23.6","1","23.6"
"17","Tyler Higbee","LAR","TE","23.4","1","23.4"
"18","Justin Herbert","LAC","QB","23.2","1","23.2"
"19","Calvin Ridley","ATL","WR","22.9","1","22.9"
"20","Kareem Hunt","CLE","RB","22.1","1","22.1"
"21","Derek Carr","LV","QB","21.7","1","21.7"
"22","Stefon Diggs","BUF","WR","21.3","1","21.3"
"23","Christian McCaffrey","CAR","RB","20.8","1","20.8"
"24","Jonnu Smith","TEN","TE","20.4","1","20.4"
"25","Jeff Driskel","DEN","QB","19.7","1","19.7"
"26","Ben Roethlisberger","PIT","QB","19.2","1","19.2"
"27","Mike Gesicki","MIA","TE","19.0","1","19.0"
"28","David Montgomery","CHI","RB","18.7","1","18.7"
"29","Terry McLaurin","WAS","WR","18.5","1","18.5"
"30","Aaron Rodgers","GB","QB","18.2","1","18.2"
"31","Darrell Henderson","LAR","RB","18.1","1","18.1"
"31","James Conner","PIT","RB","18.1","1","18.1"
"33","James Robinson","JAC","RB","18.0","1","18.0"
"34","Julian Edelman","NE","WR","17.9","1","17.9"
"35","Lamar Jackson","BAL","QB","17.6","1","17.6"
"36","Matthew Stafford","DET","QB","17.2","1","17.2"
"37","Miles Sanders","PHI","RB","17.1","1","17.1"
"38","Jonathan Taylor","IND","RB","17.0","1","17.0"
"38","Younghoe Koo","ATL","K","17.0","1","17.0"
"38","Jordan Reed","SF","TE","17.0","1","17.0"
"41","Chris Carson","SEA","RB","16.8","1","16.8"
"41","Tyreek Hill","KC","WR","16.8","1","16.8"
"43","Raheem Mostert","SF","RB","16.7","1","16.7"
"44","Darren Waller","LV","TE","16.5","1","16.5"
"45","Mike Evans","TB","WR","16.4","1","16.4"
"46","Baker Mayfield","CLE","QB","16.3","1","16.3"
"47","Ezekiel Elliott","DAL","RB","16.2","1","16.2"
"48","Justin Tucker","BAL","K","16.0","1","16.0"
"49","Deshaun Watson","HOU","QB","15.7","1","15.7"
"50","Drew Brees","NO","QB","15.5","1","15.5"
"51","D.K. Metcalf","SEA","WR","15.2","1","15.2"
"51","Diontae Johnson","PIT","WR","15.2","1","15.2"
"51","Mitchell Trubisky","CHI","QB","15.2","1","15.2"
"54","Dalvin Cook","MIN","RB","15.1","1","15.1"
"55","Travis Kelce","KC","TE","15.0","1","15.0"
"55","Rodrigo Blankenship","IND","K","15.0","1","15.0"
"55","Indianapolis Colts","IND","DST","15.0","1","15.0"
"55","Baltimore Ravens","BAL","DST","15.0","1","15.0"
"59","Chase Claypool","PIT","WR","14.8","1","14.8"
"59","Austin Ekeler","LAC","RB","14.8","1","14.8"
"61","Melvin Gordon III","DEN","RB","14.4","1","14.4"
"61","Carson Wentz","PHI","QB","14.4","1","14.4"
"63","John Brown","BUF","WR","14.2","1","14.2"
