"Rank","Player","Team","Position","Points","Games","Avg"
"64","Tampa Bay Buccaneers","TB","DST","14.0","1","14.0"
"65","Jerick McKinnon","SF","RB","13.7","1","13.7"
"65","Mark Ingram II","BAL","RB","13.7","1","13.7"
"65","Noah Fant","DEN","TE","13.7","1","13.7"
"68","Odell Beckham Jr.","CLE","WR","13.4","1","13.4"
"69","Hayden Hurst","ATL","TE","13.2","1","13.2"
"69","Tyler Boyd","CIN","WR","13.2","1","13.2"
"69","Jimmy Garoppolo","SF","QB","13.2","1","13.2"
"72","Pittsburgh Steelers","PIT","DST","13.0","1","13.0"
"72","Harrison Butker","KC","K","13.0","1","13.0"
"72","Randy Bullock","CIN","K","13.0","1","13.0"
"72","Zane Gonzalez","ARI","K","13.0","1","13.0"
"76","DeAndre Hopkins","ARI","WR","12.8","1","12.8"
"76","Dalton Schultz","DAL","TE","12.8","1","12.8"
"78","Tyler Lockett","SEA","WR","12.7","1","12.7"
"79","D.J. Moore","CAR","WR","12.0","1","12.0"
"79","Green Bay Packers","GB","DST","12.0","1","12.0"
"79","Ka'imi Fairbairn","HOU","K","12.0","1","12.0"
"79","Stephen Gostkowski","TEN","K","12.0","1","12.0"
"79","Chicago Bears","CHI","DST","12.0","1","12.0"
"79","Daniel Carlson","LV","K","12.0","1","12.0"
"85","Braxton Berrios","NYJ","WR","11.9","1","11.9"
"85","Philip Rivers","IND","QB","11.9","1","11.9"
"85","Sam Darnold","NYJ","QB","11.9","1","11.9"
"88","Keelan Cole","JAC","WR","11.8","1","11.8"
"89","Dwayne Haskins","WAS","QB","11.7","1","11.7"
"90","Dion Lewis","NYG","RB","11.6","1","11.6"
"91","CeeDee Lamb","DAL","WR","11.5","1","11.5"
"92","DeVante Parker","MIA","WR","11.3","1","11.3"
"92","Joshua Kelley","LAC","RB","11.3","1","11.3"
"94","Antonio Gibson","WAS","RB","11.2","1","11.2"
"95","Mo Alie-Cox","IND","TE","11.1","1","11.1"
"96","Jason Sanders","MIA","K","11.0","1","11.0"
"96","Greg Zuerlein","DAL","K","11.0","1","11.0"
"96","Mason Crosby","GB","K","11.0","1","11.0"
"99","Adam Humphries","TEN","WR","10.8","1","10.8"
"99","David Moore","SEA","WR","10.8","1","10.8"
"101","Teddy Bridgewater","CAR","QB","10.7","1","10.7"
"102","Russell Gage","ATL","WR","10.6","1","10.6"
"103","Josh Jacobs","LV","RB","10.5","1","10.5"
"104","C.J. Uzomah","CIN","TE","10.2","1","10.2"
"105","Amari Cooper","DAL","WR","10.0","1","10.0"
"106","Tom Brady","TB","QB","9.7","1","9.7"
"107","Tyler Eifert","JAC","TE","9.6","1","9.6"
"107","Keenan Allen","LAC","WR","9.6","1","9.6"
"107","Darnell Mooney","CHI","WR","9.6","1","9.6"
"107","Corey Davis","TEN","WR","9.6","1","9.6"
"111","Brandin Cooks","HOU","WR","9.5","1","9.5"
"111","Kenyan Drake","ARI","RB","9.5","1","9.5"
"113","Robert Woods","LAR","WR","9.3","1","9.3"
"114","Kerryon Johnson","DET","RB","9.2","1","9.2"
"115","Mike Thomas","CIN","WR","9.1","1","9.1"
"116","Arizona Cardinals","ARI","DST","9.0","1","9.0"
"116","New York Giants","NYG","DST","9.0","1","9.0"
"116","Michael Badgley","LAC","K","9.0","1","9.0"
"119","Robby Anderson","CAR","WR","8.9","1","8.9"
"120","Chris Thompson","JAC","RB","8.7","1","8.7"
"120","Ronald Jones II","TB","RB","8.7","1","8.7"
"120","Daniel Jones","NYG","QB","8.7","1","8.7"
"123","Joe Mixon","CIN","RB","8.6","1","8.6"
"123","Tre'Quan Smith","NO","WR","8.6","1","8.6"
"123","Jalen Richard","LV","RB","8.6","1","8.6"
"126","Robert Tonyan","GB","TE","8.5","1","8.5"
"127","Derrick Henry","TEN","RB","8.4","1","8.4"
"127","Marvin Hall","DET","WR","8.4","1","8.4"
"127","D.J. Chark Jr.","JAC","WR","8.4","1","8.4"
"130","Darren Fells","HOU","TE","8.3","1","8.3"
"130","Hunter Henry","LAC","TE","8.3","1","8.3"
"130","Marvin Jones Jr.","DET","WR","8.3","1","8.3"
"130","Jamaal Williams","GB","RB","8.3","1","8.3"
"134","Myles Gaskin","MIA","RB","8.2","1","8.2"
"135","Freddie Swain","SEA","WR","8.1","1","8.1"
"136","Robbie Gould","SF","K","8.0","1","8.0"
"136","Sam Ficken","NYJ","K","8.0","1","8.0"
"136","Brandon McManus","DEN","K","8.0","1","8.0"
"136","Cooper Kupp","LAR","WR","8.0","1","8.0"
"140","Zach Pascal","IND","WR","7.9","1","7.9"
"141","Isaiah Ford","MIA","WR","7.6","1","7.6"
"141","Devin Singletary","BUF","RB","7.6","1","7.6"
"143","Mike Davis","CAR","RB","7.5","1","7.5"
"143","Chris Hogan","NYJ","WR","7.5","1","7.5"
"143","Zay Jones","LV","WR","7.5","1","7.5"
"146","Jalen Guyton","LAC","WR","7.4","1","7.4"
"147","Gus Edwards","BAL","RB","7.3","1","7.3"
"147","Jared Cook","NO","TE","7.3","1","7.3"
"149","Laviska Shenault Jr.","JAC","WR","7.2","1","7.2"
"149","N'Keal Harry","NE","WR","7.2","1","7.2"
"149","Damiere Byrd","NE","WR","7.2","1","7.2"
"149","D'Andre Swift","DET","RB","7.2","1","7.2"
"153","Sam Sloman","LAR","K","7.0","1","7.0"
"153","Tyler Bass","BUF","K","7.0","1","7.0"
"153","Jake Elliott","PHI","K","7.0","1","7.0"
"153","Clyde Edwards-Helaire","KC","RB","7.0","1","7.0"
"153","Cole Beasley","BUF","WR","7.0","1","7.0"
"153","Graham Gano","NYG","K","7.0","1","7.0"
"153","Ryan Succop","TB","K","7.0","1","7.0"
"153","Los Angeles Rams","LAR","DST","7.0","1","7.0"
"161","Andy Isabella","ARI","WR","6.7","1","6.7"
"161","Kendrick Bourne","SF","WR","6.7","1","6.7"
"163","Gabriel Davis","BUF","WR","6.6","1","6.6"
"163","Courtland Sutton","DEN","WR","6.6","1","6.6"
"165","Evan Engram","NYG","TE","6.5","1","6.5"
"165","Alec Ingold","LV","RB","6.5","1","6.5"
"167","Marquez Valdes-Scantling","GB","WR","6.4","1","6.4"
"167","DeSean Jackson","PHI","WR","6.4","1","6.4"
"167","Jordan Howard","MIA","RB","6.4","1","6.4"
"170","Frank Gore","NYJ","RB","6.3","1","6.3"
"171","Jerry Jeudy","DEN","WR","6.2","1","6.2"
"171","T.J. Hockenson","DET","TE","6.2","1","6.2"
"173","J.K. Dobbins","BAL","RB","6.1","1","6.1"
"173","Jakob Johnson","NE","RB","6.1","1","6.1"
"173","Todd Gurley II","ATL","RB","6.1","1","6.1"
"173","Reggie Gilliam","BUF","RB","6.1","1","6.1"
"173","Patrick Ricard","BAL","RB","6.1","1","6.1"
"178","Wil Lutz","NO","K","6.0","1","6.0"
"178","Nick Folk","NE","K","6.0","1","6.0"
"178","Christian Kirk","ARI","WR","6.0","1","6.0"
"178","New England Patriots","NE","DST","6.0","1","6.0"
"178","Josh Lambo","JAC","K","6.0","1","6.0"
"178","Chris Boswell","PIT","K","6.0","1","6.0"
"184","Randall Cobb","HOU","WR","5.9","1","5.9"
"185","Michael Gallup","DAL","WR","5.8","1","5.8"
"186","KJ Hamler","DEN","WR","5.7","1","5.7"
"187","Jordan Akins","HOU","TE","5.5","1","5.5"
"188","Quintez Cephus","DET","WR","5.4","1","5.4"
"189","J.D. McKissic","WAS","RB","5.3","1","5.3"
"189","Mecole Hardman","KC","WR","5.3","1","5.3"
"191","Kansas City Chiefs","KC","DST","5.0","1","5.0"
"191","David Johnson","HOU","RB","5.0","1","5.0"
"191","Joey Slye","CAR","K","5.0","1","5.0"
"191","Cody Parkey","CLE","K","5.0","1","5.0"
"191","Jason Myers","SEA","K","5.0","1","5.0"
"191","Larry Fitzgerald","ARI","WR","5.0","1","5.0"
"191","Cairo Santos","CHI","K","5.0","1","5.0"
"191","Tennessee Titans","TEN","DST","5.0","1","5.0"
"191","San Francisco 49ers","SF","DST","5.0","1","5.0"
"191","Denver Broncos","DEN","DST","5.0","1","5.0"
"201","Rex Burkhead","NE","RB","4.9","1","4.9"
"202","JuJu Smith-Schuster","PIT","WR","4.8","1","4.8"
"202","Chris Conley","JAC","WR","4.8","1","4.8"
"202","Justin Watson","TB","WR","4.8","1","4.8"
"205","Golden Tate","NYG","WR","4.7","1","4.7"
"205","Malcolm Brown","LAR","RB","4.7","1","4.7"
"205","Isaiah McKenzie","BUF","WR","4.7","1","4.7"
"208","Jarvis Landry","CLE","WR","4.6","1","4.6"
"208","Preston Williams","MIA","WR","4.6","1","4.6"
"210","Drew Sample","CIN","TE","4.5","1","4.5"
"210","Allen Lazard","GB","WR","4.5","1","4.5"
"210","Anthony Firkser","TEN","TE","4.5","1","4.5"
"213","Van Jefferson","LAR","WR","4.4","1","4.4"
"213","Justin Jefferson","MIN","WR","4.4","1","4.4"
"215","Eric Ebron","PIT","TE","4.3","1","4.3"
"215","Boston Scott","PHI","RB","4.3","1","4.3"
"217","Bryan Edwards","LV","WR","4.2","1","4.2"
"217","Marquise Brown","BAL","WR","4.2","1","4.2"
"217","Zach Ertz","PHI","TE","4.2","1","4.2"
"220","Adrian Peterson","DET","RB","4.1","1","4.1"
"220","Jalen Reagor","PHI","WR","4.1","1","4.1"
"222","James O'Shaughnessy","JAC","TE","4.0","1","4.0"
"222","Jordan Wilkins","IND","RB","4.0","1","4.0"
"222","Tevin Coleman","SF","RB","4.0","1","4.0"
"222","Washington Football Team","WAS","DST","4.0","1","4.0"
"222","Cleveland Browns","CLE","DST","4.0","1","4.0"
"222","Houston Texans","HOU","DST","4.0","1","4.0"
"222","New Orleans Saints","NO","DST","4.0","1","4.0"
"222","New York Jets","NYJ","DST","4.0","1","4.0"
"230","Curtis Samuel","CAR","WR","3.9","1","3.9"
"230","Matt Breida","MIA","RB","3.9","1","3.9"
"230","KhaDarel Hodge","CLE","WR","3.9","1","3.9"
"233","Miles Boykin","BAL","WR","3.8","1","3.8"
"234","Michael Pittman Jr.","IND","WR","3.7","1","3.7"
"234","Hunter Renfrow","LV","WR","3.7","1","3.7"
"234","Zack Moss","BUF","RB","3.7","1","3.7"
"234","Carlos Hyde","SEA","RB","3.7","1","3.7"
"234","Cam Batson","TEN","WR","3.7","1","3.7"
"239","Davante Adams","GB","WR","3.6","1","3.6"
"240","Tee Higgins","CIN","WR","3.5","1","3.5"
"240","Sterling Shepard","NYG","WR","3.5","1","3.5"
"242","Blake Bell","DAL","TE","3.4","1","3.4"
"242","Deonte Harris","NO","WR","3.4","1","3.4"
"244","Steven Sims","WAS","WR","3.3","1","3.3"
"244","Cordarrelle Patterson","CHI","WR","3.3","1","3.3"
"244","Latavius Murray","NO","RB","3.3","1","3.3"
"244","Darius Slayton","NYG","WR","3.3","1","3.3"
"244","Josh Reynolds","LAR","WR","3.3","1","3.3"
"244","Allen Robinson II","CHI","WR","3.3","1","3.3"
"250","C.J. Board","NYG","WR","3.2","1","3.2"
"251","Foster Moreau","LV","TE","3.1","1","3.1"
"251","Adam Thielen","MIN","WR","3.1","1","3.1"
"253","Carolina Panthers","CAR","DST","3.0","1","3.0"
"253","Seattle Seahawks","SEA","DST","3.0","1","3.0"
"253","Atlanta Falcons","ATL","DST","3.0","1","3.0"
"253","Dan Bailey","MIN","K","3.0","1","3.0"
"253","Matt Prater","DET","K","3.0","1","3.0"
"253","Dustin Hopkins","WAS","K","3.0","1","3.0"
"253","Dallas Goedert","PHI","TE","3.0","1","3.0"
"253","Minnesota Vikings","MIN","DST","3.0","1","3.0"
"261","Mark Andrews","BAL","TE","2.9","1","2.9"
"261","A.J. Green","CIN","WR","2.9","1","2.9"
"261","Willie Snead IV","BAL","WR","2.9","1","2.9"
"264","T.Y. Hilton","IND","WR","2.8","1","2.8"
"264","Saquon Barkley","NYG","RB","2.8","1","2.8"
"264","Demarcus Robinson","KC","WR","2.8","1","2.8"
"264","Noah Brown","DAL","WR","2.8","1","2.8"
"264","Josh Malone","NYJ","WR","2.8","1","2.8"
"269","Tarik Cohen","CHI","RB","2.7","1","2.7"
"270","Logan Thomas","WAS","TE","2.6","1","2.6"
"270","Dan Arnold","ARI","TE","2.6","1","2.6"
"272","Brian Hill","ATL","RB","2.5","1","2.5"
"272","Ty Montgomery","NO","RB","2.5","1","2.5"
"272","Giovani Bernard","CIN","RB","2.5","1","2.5"
"275","Tim Patrick","DEN","WR","2.4","1","2.4"
"275","Olabisi Johnson","MIN","WR","2.4","1","2.4"
"275","Julio Jones","ATL","WR","2.4","1","2.4"
"278","Austin Hooper","CLE","TE","2.2","1","2.2"
"278","James Washington","PIT","WR","2.2","1","2.2"
"280","Darwin Thompson","KC","RB","2.1","1","2.1"
"280","Travis Homer","SEA","RB","2.1","1","2.1"
"280","Danny Amendola","DET","WR","2.1","1","2.1"
"280","Brandon Aiyuk","SF","WR","2.1","1","2.1"
"280","LeSean McCoy","TB","RB","2.1","1","2.1"
"285","Royce Freeman","DEN","RB","2.0","1","2.0"
"285","Las Vegas Raiders","LV","DST","2.0","1","2.0"
"285","Miami Dolphins","MIA","DST","2.0","1","2.0"
"285","Ito Smith","ATL","RB","2.0","1","2.0"
"285","Buffalo Bills","BUF","DST","2.0","1","2.0"
"290","Devin Duvernay","BAL","WR","1.9","1","1.9"
"290","Nelson Agholor","LV","WR","1.9","1","1.9"
"290","Ryan Izzo","NE","TE","1.9","1","1.9"
"290","Sony Michel","NE","RB","1.9","1","1.9"
"294","Jimmy Graham","CHI","TE","1.8","1","1.8"
"294","Emmanuel Sanders","NO","WR","1.8","1","1.8"
"296","Javon Wims","CHI","WR","1.7","1","1.7"
"296","Adam Trautman","NO","TE","1.7","1","1.7"
"296","AJ Dillon","GB","RB","1.7","1","1.7"
"296","Lamical Perine","NYJ","RB","1.7","1","1.7"
"296","Dontrelle Inman","WAS","WR","1.7","1","1.7"
"296","Kalen Ballage","NYJ","RB","1.7","1","1.7"
"302","Nick Mullens","SF","QB","1.6","1","1.6"
"302","Josh Hill","NO","TE","1.6","1","1.6"
"302","Alexander Mattison","MIN","RB","1.6","1","1.6"
"302","Dawson Knox","BUF","TE","1.6","1","1.6"
"302","Kenny Stills","HOU","WR","1.6","1","1.6"
"307","Kirk Cousins","MIN","QB","1.5","1","1.5"
"308","Mike Williams","LAC","WR","1.4","1","1.4"
"308","Harrison Bryant","CLE","TE","1.4","1","1.4"
"308","Alex Armah","CAR","RB","1.4","1","1.4"
"311","Chase Edmonds","ARI","RB","1.3","1","1.3"
"311","Cam Akers","LAR","RB","1.3","1","1.3"
"313","Breshad Perriman","NYJ","WR","1.2","1","1.2"
"313","Cole Kmet","CHI","TE","1.2","1","1.2"
"313","Scotty Miller","TB","WR","1.2","1","1.2"
"313","Darrel Williams","KC","RB","1.2","1","1.2"
"317","Nick Boyle","BAL","TE","1.1","1","1.1"
"317","O.J. Howard","TB","TE","1.1","1","1.1"
"317","Sammy Watkins","KC","WR","1.1","1","1.1"
"320","Los Angeles Chargers","LAC","DST","1.0","1","1.0"
"320","Trent Taylor","SF","WR","1.0","1","1.0"
"320","Olamide Zaccheaus","ATL","WR","1.0","1","1.0"
"323","Will Dissly","SEA","TE","0.9","1","0.9"
"323","Senorise Perry","TEN","RB","0.9","1","0.9"
"323","Tony Pollard","DAL","RB","0.9","1","0.9"
"326","Taysom Hill","NO","QB","0.8","1","0.8"
"326","Chris Manhertz","CAR","TE","0.8","1","0.8"
"326","Joe Reed","LAC","WR","0.8","1","0.8"
"329","Jeremy McNichols","TEN","RB","0.7","1","0.7"
"329","Parris Campbell","IND","WR","0.7","1","0.7"
"329","Jakobi Meyers","NE","WR","0.7","1","0.7"
"332","Kyle Juszczyk","SF","RB","0.6","1","0.6"
"332","Ashton Dulin","IND","WR","0.6","1","0.6"
"334","DaeSean Hamilton","DEN","WR","0.5","1","0.5"
"334","Greg Ward","PHI","WR","0.5","1","0.5"
"334","Devontae Booker","LV","RB","0.5","1","0.5"
"334","Ross Dwelley","SF","TE","0.5","1","0.5"
"334","Chris Herndon IV","NYJ","TE","0.5","1","0.5"
"339","Adam Shaheen","MIA","TE","0.4","1","0.4"
"339","Jaylen Samuels","PIT","RB","0.4","1","0.4"
"339","C.J. Ham","MIN","RB","0.4","1","0.4"
"339","Marcedes Lewis","GB","TE","0.4","1","0.4"
"339","Nyheim Hines","IND","RB","0.4","1","0.4"
"339","Tyler Ervin","GB","RB","0.4","1","0.4"
"339","Henry Ruggs III","LV","WR","0.4","1","0.4"
"346","Irv Smith Jr.","MIN","TE","0.3","1","0.3"
"346","Jeff Wilson Jr.","SF","RB","0.3","1","0.3"
"346","Keith Smith","ATL","RB","0.3","1","0.3"
"346","Vance McDonald","PIT","TE","0.3","1","0.3"
"346","Jason Witten","LV","TE","0.3","1","0.3"
"346","Antonio Gandy-Golden","WAS","WR","0.3","1","0.3"
"352","Ryan Nall","CHI","RB","0.2","1","0.2"
"352","Jakeem Grant","MIA","WR","0.2","1","0.2"
"352","Marcus Baugh","WAS","TE","0.2","1","0.2"
"355","Peyton Barber","WAS","RB","0.1","1","0.1"
"356","LeVante Bellamy","DEN","RB","0.0","1","0.0"
"356","Andy Dalton","DAL","QB","0.0","1","0.0"
"356","Dan Chisena","MIN","WR","0.0","1","0.0"
"356","Tanner Hudson","TB","TE","0.0","1","0.0"
"356","Ameer Abdullah","MIN","RB","0.0","1","0.0"
"356","Malik Turner","DAL","WR","0.0","1","0.0"
"356","Christian Blake","ATL","WR","0.0","1","0.0"
"356","Trent Sherfield","ARI","WR","0.0","1","0.0"
"356","Cam Sims","WAS","WR","0.0","1","0.0"
"356","Jalen Hurts","PHI","QB","0.0","1","0.0"
"356","Dare Ogunbowale","JAC","RB","0.0","1","0.0"
"356","Jacksonville Jaguars","JAC","DST","0.0","1","0.0"
"356","JJ Arcega-Whiteside","PHI","WR","0.0","1","0.0"
"356","Collin Johnson","JAC","WR","0.0","1","0.0"
"356","Cullen Gillaspia","HOU","RB","0.0","1","0.0"
"356","James Proche","BAL","WR","0.0","1","0.0"
"356","C.J. Prosise","HOU","RB","0.0","1","0.0"
"356","K.J. Hill","LAC","WR","0.0","1","0.0"
"356","John Hightower","PHI","WR","0.0","1","0.0"
"356","Beau Brinkley","TEN","TE","0.0","1","0.0"
"356","Cyril Grayson Jr.","TB","WR","0.0","1","0.0"
"356","Mohamed Sanu","SF","WR","0.0","1","0.0"
"356","Michael Burton","NO","RB","0.0","1","0.0"
"356","Farrod Green","IND","TE","0.0","1","0.0"
"356","Sean McKeon","DAL","TE","0.0","1","0.0"
"356","Colin Thompson","CAR","TE","0.0","1","0.0"
"356","Jordan Thomas","ARI","TE","0.0","1","0.0"
"356","Noah Togiai","IND","TE","0.0","1","0.0"
"356","Daurice Fountain","IND","WR","0.0","1","0.0"
"356","Nsimba Webster","LAR","WR","0.0","1","0.0"
"356","Nick Westbrook-Ikhine","TEN","WR","0.0","1","0.0"
"356","Ke'Shawn Vaughn","TB","RB","0.0","1","0.0"
"356","Andrew Beck","DEN","TE","0.0","1","0.0"
"356","K.J. Osborn","MIN","WR","0.0","1","0.0"
"356","Darius Bradwell","LAC","RB","0.0","1","0.0"
"356","Quinton Bell","TB","WR","0.0","1","0.0"
"356","Marquez Callaway","NO","WR","0.0","1","0.0"
"356","Brandon Powell","ATL","WR","0.0","1","0.0"
"356","Malik Taylor","GB","WR","0.0","1","0.0"
"356","Elijhaa Penny","NYG","RB","0.0","1","0.0"
"356","Pharoh Cooper","CAR","WR","0.0","1","0.0"
"356","Byron Pringle","KC","WR","0.0","1","0.0"
"356","Nick Vannett","DEN","TE","0.0","1","0.0"
"356","Demetrius Harris","CHI","TE","0.0","1","0.0"
"356","Richard Rodgers","PHI","TE","0.0","1","0.0"
"356","Cameron Brate","TB","TE","0.0","1","0.0"
"356","Kyle Nelson","SF","TE","0.0","1","0.0"
"356","Jesse James","DET","TE","0.0","1","0.0"
"356","Tyler Kroft","BUF","TE","0.0","1","0.0"
"356","MyCole Pruitt","TEN","TE","0.0","1","0.0"
"356","Josh Adams","NYJ","RB","0.0","1","0.0"
"356","Daniel Brown","NYJ","TE","0.0","1","0.0"
"356","Stephen Anderson","LAC","TE","0.0","1","0.0"
"356","Luke Willson","SEA","TE","0.0","1","0.0"
"356","J.P. Holtz","CHI","TE","0.0","1","0.0"
"356","Taiwan Jones","BUF","RB","0.0","1","0.0"
"356","Jake Butt","DEN","TE","0.0","1","0.0"
"356","Gerald Everett","LAR","TE","0.0","1","0.0"
"356","Jeremy Sprinkle","WAS","TE","0.0","1","0.0"
"356","Jacob Hollister","SEA","TE","0.0","1","0.0"
"356","Cethan Carter","CIN","TE","0.0","1","0.0"
"356","Damion Ratley","NYG","WR","0.0","1","0.0"
"356","Ryan Griffin","NYJ","TE","0.0","1","0.0"
"356","Levine Toilolo","NYG","TE","0.0","1","0.0"
"356","Johnny Mundt","LAR","TE","0.0","1","0.0"
"356","Trenton Cannon","CAR","RB","0.0","1","0.0"
"356","Mike Boone","MIN","RB","0.0","1","0.0"
"356","Chris Streveler","ARI","QB","0.0","1","0.0"
"356","Patrick Laird","MIA","RB","0.0","1","0.0"
"356","Ty Johnson","DET","RB","0.0","1","0.0"
"356","John Lovett","GB","QB","0.0","1","0.0"
"356","Chandler Cox","MIA","RB","0.0","1","0.0"
"356","Khari Blasingame","TEN","RB","0.0","1","0.0"
"356","D'Ernest Johnson","CLE","RB","0.0","1","0.0"
"356","Xavier Jones","LAR","RB","0.0","1","0.0"
"356","Clark Harris","CIN","TE","0.0","1","0.0"
"356","Greg Olsen","SEA","TE","0.0","1","0.0"
"356","Rob Gronkowski","TB","TE","0.0","1","0.0"
"356","Kyle Rudolph","MIN","TE","0.0","1","0.0"
"356","Luke Stocker","ATL","TE","0.0","1","0.0"
"356","Virgil Green","LAC","TE","0.0","1","0.0"
"356","Bruce Miller","JAC","TE","0.0","1","0.0"
"356","Derek Carrier","LV","TE","0.0","1","0.0"
"356","Darrell Daniels","ARI","TE","0.0","1","0.0"
"356","Anthony Sherman","KC","RB","0.0","1","0.0"
"356","Mack Hollins","MIA","WR","0.0","1","0.0"
"356","DeAndre Carter","HOU","WR","0.0","1","0.0"
"356","Buddy Howell","HOU","RB","0.0","1","0.0"
"356","Rashard Higgins","CLE","WR","0.0","1","0.0"
"356","Tajae Sharpe","MIN","WR","0.0","1","0.0"
"356","Will Fuller V","HOU","WR","0.0","1","0.0"
"356","Alex Erickson","CIN","WR","0.0","1","0.0"
"356","Kalif Raymond","TEN","WR","0.0","1","0.0"
"356","Jaydon Mickens","TB","WR","0.0","1","0.0"
"356","John Ross","CIN","WR","0.0","1","0.0"
"356","JoJo Natson","CLE","WR","0.0","1","0.0"
"356","Samaje Perine","CIN","RB","0.0","1","0.0"
"356","Justin Hardee","NO","WR","0.0","1","0.0"
"356","Marcus Kemp","KC","WR","0.0","1","0.0"
"356","Brandon Zylstra","CAR","WR","0.0","1","0.0"
"356","Anthony Miller","CHI","WR","0.0","1","0.0"
"356","Cedrick Wilson","DAL","WR","0.0","1","0.0"
"356","Dante Pettis","SF","WR","0.0","1","0.0"
"356","Derek Watt","PIT","RB","0.0","1","0.0"
"356","Andy Janovich","CLE","RB","0.0","1","0.0"
"356","D.J. Foster","ARI","RB","0.0","1","0.0"
"356","Ray-Ray McCloud","PIT","WR","0.0","1","0.0"
"356","Seth Roberts","CAR","WR","0.0","1","0.0"
"356","Charlie Woerner","SF","TE","0.0","1","0.0"
"356","Ty Long","LAC","K","0.0","1","0.0"
"356","Ian Thomas","CAR","TE","0.0","1","0.0"
"356","Durham Smythe","MIA","TE","0.0","1","0.0"
"356","Tyler Conklin","MIN","TE","0.0","1","0.0"
"356","Nick Keizer","KC","TE","0.0","1","0.0"
"356","Jaeden Graham","ATL","TE","0.0","1","0.0"
"356","Trevon Wesco","NYJ","TE","0.0","1","0.0"
"356","Jace Sternberger","GB","TE","0.0","1","0.0"
"356","Stephen Carlson","CLE","TE","0.0","1","0.0"
"356","Diontae Spencer","DEN","WR","0.0","1","0.0"
